,entry,exit,position,asset
0,2009-01-02,2009-09-09,1,"('금호석유', '금호석유우')"
1,2009-01-06,2009-02-09,1,"('삼성SDI', '삼성SDI우')"
2,2009-01-07,2009-02-26,1,"('한화솔루션', '한화솔루션우')"
3,2009-01-07,2009-03-05,1,"('호텔신라', '호텔신라우')"
4,2009-01-12,2009-03-18,1,"('삼성전기', '삼성전기우')"
5,2009-01-30,2009-02-27,1,"('LG화학', 'LG화학우')"
6,2009-01-30,2009-03-02,1,"('LG전자', 'LG전자우')"
7,2009-02-02,2009-03-16,1,"('JW중외제약', 'JW중외제약우')"
8,2009-02-11,2009-05-28,1,"('DB하이텍', 'DB하이텍1우')"
9,2009-02-27,2009-04-15,1,"('현대건설', '현대건설우')"
10,2009-03-06,2009-03-20,1,"('아모레퍼시픽', '아모레퍼시픽우')"
11,2009-03-09,2009-05-11,1,"('미래에셋증권', '미래에셋증권우')"
12,2009-03-11,2009-04-28,1,"('한국금융지주', '한국금융지주우')"
13,2009-03-12,2009-04-20,1,"('삼성전자', '삼성전자우')"
14,2009-03-12,2009-04-27,1,"('LG전자', 'LG전자우')"
15,2009-03-12,2009-05-26,1,"('삼성화재', '삼성화재우')"
16,2009-03-16,2009-03-27,1,"('한화', '한화우')"
17,2009-03-16,2009-05-07,1,"('넥센타이어', '넥센타이어1우B')"
18,2009-03-17,2009-05-11,1,"('NH투자증권', 'NH투자증권우')"
19,2009-03-19,2009-04-28,1,"('호텔신라', '호텔신라우')"
20,2009-03-24,2009-04-22,1,"('LG화학', 'LG화학우')"
21,2009-03-25,2009-07-23,1,"('삼성SDI', '삼성SDI우')"
22,2009-03-27,2009-04-28,1,"('한화솔루션', '한화솔루션우')"
23,2009-04-01,2009-04-08,1,"('SK네트웍스', 'SK네트웍스우')"
24,2009-04-15,2009-05-13,1,"('현대차', '현대차우')"
25,2009-04-15,2009-05-15,1,"('LG생활건강', 'LG생활건강우')"
26,2009-04-16,2009-05-25,1,"('GS', 'GS우')"
27,2009-04-23,2009-05-08,1,"('아모레퍼시픽', '아모레퍼시픽우')"
28,2009-04-24,2009-05-18,1,"('SK이노베이션', 'SK이노베이션우')"
29,2009-04-29,2009-05-15,1,"('LG화학', 'LG화학우')"
30,2009-04-30,2009-06-23,1,"('아모레G', '아모레G우')"
31,2009-05-07,2009-06-04,1,"('CJ', 'CJ우')"
32,2009-05-15,2009-07-14,1,"('SK네트웍스', 'SK네트웍스우')"
33,2009-05-28,2009-07-07,1,"('삼성전기', '삼성전기우')"
34,2009-06-10,2009-08-17,1,"('한화솔루션', '한화솔루션우')"
35,2009-06-18,2009-09-24,1,"('넥센타이어', '넥센타이어1우B')"
36,2009-06-22,2009-07-03,1,"('CJ제일제당', 'CJ제일제당 우')"
37,2009-06-22,2009-07-13,1,"('호텔신라', '호텔신라우')"
38,2009-06-30,2009-08-11,1,"('JW중외제약', 'JW중외제약우')"
39,2009-07-02,2009-07-13,1,"('삼성화재', '삼성화재우')"
40,2009-07-02,2009-08-21,1,"('현대차', '현대차우')"
41,2009-07-07,2009-08-03,1,"('아모레G', '아모레G우')"
42,2009-07-07,2009-08-06,1,"('LG전자', 'LG전자우')"
43,2009-07-08,2009-07-23,1,"('삼성전자', '삼성전자우')"
44,2009-07-16,2009-09-02,1,"('GS', 'GS우')"
45,2009-07-17,2009-08-31,1,"('NH투자증권', 'NH투자증권우')"
46,2009-07-17,2009-10-01,1,"('미래에셋증권', '미래에셋증권우')"
47,2009-07-17,2010-03-16,1,"('대한항공', '대한항공우')"
48,2009-07-21,2009-10-22,1,"('S-Oil', 'S-Oil우')"
49,2009-07-22,2009-08-18,1,"('유한양행', '유한양행우')"
50,2009-07-24,2009-08-19,1,"('삼성화재', '삼성화재우')"
51,2009-07-27,2009-08-24,1,"('삼성전기', '삼성전기우')"
52,2009-07-31,2009-08-19,1,"('SK이노베이션', 'SK이노베이션우')"
53,2009-07-31,2009-09-16,1,"('CJ', 'CJ우')"
54,2009-07-31,2009-12-28,1,"('LG화학', 'LG화학우')"
55,2009-08-04,2009-09-04,1,"('LG생활건강', 'LG생활건강우')"
56,2009-08-05,2009-10-05,1,"('삼성전자', '삼성전자우')"
57,2009-08-06,2009-09-01,1,"('LG', 'LG우')"
58,2009-08-14,2009-12-28,1,"('대상', '대상우')"
59,2009-08-21,2009-09-04,1,"('삼성SDI', '삼성SDI우')"
60,2009-08-21,2009-09-25,1,"('삼성화재', '삼성화재우')"
61,2009-08-31,2009-09-18,1,"('아모레퍼시픽', '아모레퍼시픽우')"
62,2009-08-31,2009-09-23,1,"('아모레G', '아모레G우')"
63,2009-08-31,2009-12-21,1,"('CJ제일제당', 'CJ제일제당 우')"
64,2009-09-07,2009-09-09,1,"('한화솔루션', '한화솔루션우')"
65,2009-09-08,2009-11-03,1,"('LG생활건강', 'LG생활건강우')"
66,2009-09-10,2009-11-27,1,"('SK이노베이션', 'SK이노베이션우')"
67,2009-09-15,2009-10-29,1,"('현대건설', '현대건설우')"
68,2009-09-15,2009-12-07,1,"('호텔신라', '호텔신라우')"
69,2009-09-18,2009-10-28,1,"('한화', '한화우')"
70,2009-09-21,2009-10-20,1,"('유한양행', '유한양행우')"
71,2009-09-23,2010-04-14,1,"('삼성전기', '삼성전기우')"
72,2009-09-25,2009-10-29,1,"('LG', 'LG우')"
73,2009-10-01,2010-04-12,1,"('CJ', 'CJ우')"
74,2009-10-06,2009-10-28,1,"('한국금융지주', '한국금융지주우')"
75,2009-10-07,2009-11-03,1,"('SK네트웍스', 'SK네트웍스우')"
76,2009-10-12,2009-11-12,1,"('현대차', '현대차우')"
77,2009-10-26,2009-10-30,1,"('NH투자증권', 'NH투자증권우')"
78,2009-10-26,2009-11-16,1,"('JW중외제약', 'JW중외제약우')"
79,2009-10-29,2009-12-08,1,"('LG전자', 'LG전자우')"
80,2009-11-06,2010-04-12,1,"('삼성SDI', '삼성SDI우')"
81,2009-11-19,2010-02-01,1,"('SK네트웍스', 'SK네트웍스우')"
82,2009-11-24,2010-02-02,1,"('한화', '한화우')"
83,2009-11-30,2010-04-06,1,"('GS', 'GS우')"
84,2009-12-07,2010-01-27,1,"('DB하이텍', 'DB하이텍1우')"
85,2009-12-10,2010-01-22,1,"('한국금융지주', '한국금융지주우')"
86,2009-12-10,2010-05-06,1,"('S-Oil', 'S-Oil우')"
87,2009-12-14,2010-02-08,1,"('JW중외제약', 'JW중외제약우')"
88,2009-12-21,2010-02-22,1,"('현대차', '현대차우')"
89,2009-12-22,2010-04-28,1,"('금호석유', '금호석유우')"
90,2009-12-29,2010-03-24,1,"('한화솔루션', '한화솔루션우')"
91,2009-12-29,2010-05-10,1,"('SK이노베이션', 'SK이노베이션우')"
92,2010-01-04,2010-02-25,1,"('LG', 'LG우')"
93,2010-01-05,2010-02-04,1,"('LG생활건강', 'LG생활건강우')"
94,2010-01-15,2010-01-29,1,"('호텔신라', '호텔신라우')"
95,2010-01-15,2010-02-02,1,"('삼성전자', '삼성전자우')"
96,2010-01-19,2010-05-11,1,"('LG화학', 'LG화학우')"
97,2010-01-26,2010-02-24,1,"('LG전자', 'LG전자우')"
98,2010-02-01,2010-03-02,1,"('아모레퍼시픽', '아모레퍼시픽우')"
99,2010-02-17,2010-05-12,1,"('삼성화재', '삼성화재우')"
100,2010-02-23,2010-02-24,1,"('SK네트웍스', 'SK네트웍스우')"
101,2010-02-23,2010-04-13,1,"('DB하이텍', 'DB하이텍1우')"
102,2010-03-05,2010-04-26,1,"('호텔신라', '호텔신라우')"
103,2010-03-08,2010-04-15,1,"('한국금융지주', '한국금융지주우')"
104,2010-03-08,2010-05-03,1,"('NH투자증권', 'NH투자증권우')"
105,2010-03-09,2010-04-19,1,"('현대건설', '현대건설우')"
106,2010-03-10,2010-04-26,1,"('CJ제일제당', 'CJ제일제당 우')"
107,2010-03-17,2010-04-28,1,"('미래에셋증권', '미래에셋증권우')"
108,2010-03-22,2010-04-28,1,"('대상', '대상우')"
109,2010-03-26,2010-06-04,1,"('아모레퍼시픽', '아모레퍼시픽우')"
110,2010-03-30,2010-05-04,1,"('유한양행', '유한양행우')"
111,2010-04-01,2010-05-24,1,"('LG전자', 'LG전자우')"
112,2010-04-12,2010-04-26,1,"('SK네트웍스', 'SK네트웍스우')"
113,2010-04-13,2010-05-03,1,"('DB하이텍', 'DB하이텍1우')"
114,2010-04-15,2010-08-12,1,"('한국금융지주', '한국금융지주우')"
115,2010-04-21,2010-05-10,1,"('한화솔루션', '한화솔루션우')"
116,2010-05-06,2010-05-12,1,"('넥센타이어', '넥센타이어1우B')"
117,2010-05-10,2010-05-13,1,"('삼성SDI', '삼성SDI우')"
118,2010-05-10,2010-06-11,1,"('아모레G', '아모레G우')"
119,2010-05-12,2010-06-08,1,"('LG생활건강', 'LG생활건강우')"
120,2010-06-11,2010-11-08,1,"('현대차', '현대차우')"
121,2010-06-16,2010-07-06,1,"('JW중외제약', 'JW중외제약우')"
122,2010-06-17,2010-10-22,1,"('한화솔루션', '한화솔루션우')"
123,2010-06-22,2010-10-20,1,"('GS', 'GS우')"
124,2010-06-24,2010-08-25,1,"('SK이노베이션', 'SK이노베이션우')"
125,2010-06-28,2010-08-27,1,"('삼성화재', '삼성화재우')"
126,2010-06-30,2010-08-09,1,"('CJ제일제당', 'CJ제일제당 우')"
127,2010-07-05,2010-08-02,1,"('현대건설', '현대건설우')"
128,2010-07-09,2010-07-14,1,"('NH투자증권', 'NH투자증권우')"
129,2010-07-09,2010-07-23,1,"('대한항공', '대한항공우')"
130,2010-07-09,2010-10-05,1,"('CJ', 'CJ우')"
131,2010-07-09,2010-10-12,1,"('LG생활건강', 'LG생활건강우')"
132,2010-07-13,2010-09-30,1,"('LG', 'LG우')"
133,2010-07-14,2010-08-24,1,"('금호석유', '금호석유우')"
134,2010-07-14,2010-08-25,1,"('미래에셋증권', '미래에셋증권우')"
135,2010-07-14,2010-08-31,1,"('삼성SDI', '삼성SDI우')"
136,2010-07-16,2010-11-19,1,"('삼성전기', '삼성전기우')"
137,2010-07-20,2010-09-10,1,"('S-Oil', 'S-Oil우')"
138,2010-08-02,2010-08-13,1,"('현대건설', '현대건설우')"
139,2010-08-05,2010-08-11,1,"('SK네트웍스', 'SK네트웍스우')"
140,2010-08-05,2010-09-03,1,"('한화', '한화우')"
141,2010-08-09,2010-08-12,1,"('JW중외제약', 'JW중외제약우')"
142,2010-08-09,2010-10-18,1,"('유한양행', '유한양행우')"
143,2010-08-31,2010-10-05,1,"('아모레G', '아모레G우')"
144,2010-09-01,2010-10-08,1,"('아모레퍼시픽', '아모레퍼시픽우')"
145,2010-09-01,2010-11-26,1,"('CJ제일제당', 'CJ제일제당 우')"
146,2010-09-06,2010-10-15,1,"('LG화학', 'LG화학우')"
147,2010-09-10,2010-10-12,1,"('S-Oil', 'S-Oil우')"
148,2010-09-13,2010-10-21,1,"('NH투자증권', 'NH투자증권우')"
149,2010-09-15,2010-10-18,1,"('한국금융지주', '한국금융지주우')"
150,2010-09-15,2010-10-19,1,"('미래에셋증권', '미래에셋증권우')"
151,2010-09-17,2010-10-25,1,"('삼성화재', '삼성화재우')"
